seed,family,dataset,train_rel,noise_setting,run_name,run_leaf,beta,lambda_gold,epoch,train_loss,test_loss,loss_gap_test_minus_train
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg02,brightness_0p75_beta08_lg02,0.8,0.2,6,0.5022353176,1.849215483,1.346980165
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta08_lg02,brightness_0p75_beta08_lg02,0.8,0.2,7,0.4553703179,1.66000576,1.204635442
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,1,0.8393516412,2.428412217,1.589060575
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,2,0.6373915789,2.043950359,1.40655878
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,3,0.5426593188,2.102227296,1.559567977
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,4,0.4787688974,1.887685725,1.408916827
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,5,0.4216007879,1.862317367,1.440716579
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,6,0.3867005791,1.863601008,1.476900428
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,7,0.3553485822,1.668370297,1.313021714
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,8,0.315444495,1.688027102,1.372582607
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,9,0.2874073623,1.684346613,1.396939251
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,10,0.2563864064,1.593765145,1.337378738
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,11,0.2385424921,1.616584214,1.378041722
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,12,0.2194137522,1.527847978,1.308434226
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,13,0.1998181649,1.565655569,1.365837404
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,14,0.1784777499,1.564452277,1.385974527
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,15,0.1665875798,1.518019185,1.351431605
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,16,0.1573688325,1.714202863,1.556834031
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,17,0.1457834179,1.552709564,1.406926146
22,ggcl,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,18,0.1393141283,1.611531374,1.472217246
22,ggcl,Flower_102,feature_noise/gaussian_30p0,gaussian_30p0,feature_noise/gaussian/gaussian_30p0_method_beta05_lg015,gaussian_30p0_method_beta05_lg015,0.5,0.15,1,1.755423206,2.349331636,0.5939084301
22,ggcl,Flower_102,feature_noise/gaussian_30p0,gaussian_30p0,feature_noise/gaussian/gaussian_30p0_method_beta05_lg015,gaussian_30p0_method_beta05_lg015,0.5,0.15,2,1.361284614,2.085696939,0.7244123248
22,ggcl,Flower_102,feature_noise/gaussian_30p0,gaussian_30p0,feature_noise/gaussian/gaussian_30p0_method_beta05_lg015,gaussian_30p0_method_beta05_lg015,0.5,0.15,3,1.179026119,2.004082046,0.8250559273
