family,dataset,train_rel,noise_setting,run_name,run_leaf,beta,lambda_gold,epoch,n,train_loss_mean,train_loss_std,test_loss_mean,test_loss_std,loss_gap_mean,loss_gap_std
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,7,3,0.9836811536,0.08336166147,1.86959106,0.2603131692,0.8859099065,0.1772832776
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,8,2,0.8540850905,0.02447974699,1.697134205,0.07710574478,0.8430491144,0.1015854922
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,9,2,0.7988015932,0.01229701529,1.658746323,0.04430373083,0.85994473,0.05660074605
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,1,3,1.595744278,0.05305772701,2.361030589,0.1789219695,0.7652863114,0.1349958535
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,10,2,0.5151416001,0.016193646,1.670396236,0.06460471985,1.155254635,0.08079836528
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,11,2,0.4614406132,0.01040103545,1.674692283,0.06889181068,1.213251669,0.07929284656
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,12,1,0.438908751,,1.551604086,,1.112695335,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,13,1,0.4107711739,,1.714879416,,1.304108242,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,14,1,0.3781465205,,1.483127096,,1.104980576,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,15,1,0.3295814304,,1.685149531,,1.355568101,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,16,1,0.2981357894,,1.641961528,,1.343825739,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,17,1,0.2831894406,,1.556869143,,1.273679702,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,2,3,1.230107141,0.0591200566,2.125858713,0.04790891257,0.8957515714,0.05072996282
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,3,3,1.065673466,0.05830095048,2.042301691,0.20853621,0.9766282244,0.1504794357
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,4,3,0.9467578589,0.05363070619,1.938146722,0.01765857012,0.9913888633,0.06411689653
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,5,3,0.8448788052,0.03869779226,1.820656953,0.1511961356,0.9757781479,0.1138274885
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,6,3,0.7697656535,0.05617490565,1.939462192,0.2548152762,1.169696538,0.2120620611
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,7,3,0.7068150315,0.06236412811,1.840777949,0.2142477005,1.133962917,0.1520210239
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,8,2,0.6117027837,0.008276128734,1.686044184,0.0116578998,1.0743414,0.01993402888
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta05_lg01,blur_3p0_beta05_lg01,0.5,0.1,9,2,0.5665280405,0.001996297642,1.66531426,0.05174866862,1.098786219,0.05374496612
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta085_lg01,blur_3p0_beta085_lg01,0.85,0.1,1,3,0.9205260563,0.01991988675,2.371451446,0.1342480697,1.45092539,0.115322179
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta085_lg01,blur_3p0_beta085_lg01,0.85,0.1,10,2,0.2910430241,0.005397622681,1.684967905,0.01205544371,1.393924881,0.01745306625
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta085_lg01,blur_3p0_beta085_lg01,0.85,0.1,11,2,0.2645680109,0.003222954313,1.703941268,0.02141968922,1.439373258,0.02464264304
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta085_lg01,blur_3p0_beta085_lg01,0.85,0.1,12,1,0.2319173009,,1.662003666,,1.430086365,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta085_lg01,blur_3p0_beta085_lg01,0.85,0.1,13,1,0.2177590843,,1.738074254,,1.520315169,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta085_lg01,blur_3p0_beta085_lg01,0.85,0.1,14,1,0.2000672004,,1.76387313,,1.56380593,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta085_lg01,blur_3p0_beta085_lg01,0.85,0.1,2,3,0.7055018818,0.02111088396,2.089853435,0.03723391571,1.384351554,0.0410816274
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta085_lg01,blur_3p0_beta085_lg01,0.85,0.1,3,3,0.6076737703,0.02008685492,2.056351083,0.1690386031,1.448677314,0.1508419243
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta085_lg01,blur_3p0_beta085_lg01,0.85,0.1,4,3,0.5367514078,0.02028686758,1.962901997,0.05047908564,1.426150589,0.0571524898
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta085_lg01,blur_3p0_beta085_lg01,0.85,0.1,5,3,0.4773631631,0.01103153246,1.827608275,0.1101175965,1.350245112,0.1018385187
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta085_lg01,blur_3p0_beta085_lg01,0.85,0.1,6,3,0.432289698,0.019302908,1.902739283,0.1789897612,1.470449585,0.1679394003
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta085_lg01,blur_3p0_beta085_lg01,0.85,0.1,7,3,0.3948321375,0.02047674953,1.788362216,0.08888782257,1.393530078,0.07035449295
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta085_lg01,blur_3p0_beta085_lg01,0.85,0.1,8,2,0.3456397378,0.006696642538,1.713307493,0.02373301876,1.367667756,0.03042966151
