family,dataset,train_rel,noise_setting,run_name,run_leaf,beta,lambda_gold,n,selected_acc_mean,selected_acc_std,peak_acc_mean,peak_acc_std,final_acc_mean,final_acc_std,selected_epoch_mean,selected_epoch_std
ggcl,STL,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablation/brightness_0p75_beta02_lg01,brightness_0p75_beta02_lg01,0.2,0.1,3,0.7185897436,0.01796748104,0.726025641,0.01558681231,0.7102564103,0.02979548964,9.333333333,2.516611478
ggcl,STL,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablation/brightness_0p75_beta05_lg01,brightness_0p75_beta05_lg01,0.5,0.1,3,0.7285897436,0.005078282646,0.7434615385,0.007307692308,0.7267948718,0.03079406049,11.66666667,3.785938897
ggcl,STL,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablation/brightness_0p75_beta085_lg01,brightness_0p75_beta085_lg01,0.85,0.1,3,0.7247435897,0.01195611634,0.7370512821,0.01395964881,0.7261538462,0.01914982967,8.666666667,2.516611478
ggcl,STL,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablation/brightness_0p75_beta09_lg0075,brightness_0p75_beta09_lg0075,0.9,0.075,3,0.7291025641,0.01235767096,0.7361538462,0.009158369923,0.7293589744,0.01267675815,12.33333333,3.511884584
ggcl,STL,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablation/brightness_0p75_beta09_lg015,brightness_0p75_beta09_lg015,0.9,0.15,3,0.7052564103,0.006036542239,0.7169230769,0.01410023291,0.7044871795,0.02340893641,6.333333333,1.154700538
ggcl,STL,feature_noise/gaussian_30p0,gaussian_30p0,feature_noise/gaussian/gaussian_30p0_method_beta05_lg015,gaussian_30p0_method_beta05_lg015,0.5,0.15,3,0.6685897436,0.01593409751,0.6751282051,0.01326412016,0.665,0.0152542554,6.666666667,4.041451884
ggcl,STL,feature_noise/gaussian_30p0,gaussian_30p0,feature_noise/gaussian/gaussian_ablation/gaussian_30p0_beta02_lg01,gaussian_30p0_beta02_lg01,0.2,0.1,3,0.6598717949,0.01147632844,0.6726923077,0.005586861172,0.6429487179,0.0250630369,9.666666667,2.081665999
ggcl,STL,feature_noise/gaussian_30p0,gaussian_30p0,feature_noise/gaussian/gaussian_ablation/gaussian_30p0_beta05_lg0075,gaussian_30p0_beta05_lg0075,0.5,0.075,3,0.6617948718,0.01250640861,0.6696153846,0.01322875656,0.6607692308,0.01627700305,7.333333333,1.527525232
ggcl,STL,feature_noise/gaussian_30p0,gaussian_30p0,feature_noise/gaussian/gaussian_ablation/gaussian_30p0_beta05_lg01,gaussian_30p0_beta05_lg01,0.5,0.1,3,0.6579487179,0.01546294164,0.6794871795,0.004588597479,0.6683333333,0.009120603288,7.333333333,1.527525232
ggcl,STL,feature_noise/gaussian_30p0,gaussian_30p0,feature_noise/gaussian/gaussian_ablation/gaussian_30p0_beta05_lg02,gaussian_30p0_beta05_lg02,0.5,0.2,3,0.6735897436,0.03033426533,0.6830769231,0.02638753068,0.6585897436,0.01706814281,8.333333333,5.859465277
ggcl,STL,feature_noise/gaussian_30p0,gaussian_30p0,feature_noise/gaussian/gaussian_ablation/gaussian_30p0_beta085_lg01,gaussian_30p0_beta085_lg01,0.85,0.1,3,0.6465384615,0.00504418348,0.6543589744,0.005221900475,0.6470512821,0.01258305739,5,1
ggcl,STL,feature_noise/gaussian_30p0,gaussian_30p0,feature_noise/gaussian/gaussian_ablation/gaussian_30p0_beta09_lg01,gaussian_30p0_beta09_lg01,0.9,0.1,3,0.6407692308,0.01164057381,0.6555128205,0.006133781392,0.6484615385,0.01280255152,4.666666667,0.5773502692
ggcl,STL,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,hybrid_noise/blur_label_shuffle/blur_3p0_label_shuffle_0p2_beta09_lg025,blur_3p0_label_shuffle_0p2_beta09_lg025,0.9,0.25,3,0.636025641,0.01264170176,0.6394871795,0.009233439785,0.6303846154,0.007123176607,2.333333333,1.527525232
ggcl,STL,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,hybrid_noise/blur_label_shuffle/blur_hybrid_ablation/blur_3p0_label_shuffle_0p2_beta085_lg015,blur_3p0_label_shuffle_0p2_beta085_lg015,0.85,0.15,3,0.6252564103,0.01822498015,0.6307692308,0.008694349658,0.5902564103,0.01724490034,3.333333333,2.081665999
ggcl,STL,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,hybrid_noise/blur_label_shuffle/blur_hybrid_ablation/blur_3p0_label_shuffle_0p2_beta095_lg015,blur_3p0_label_shuffle_0p2_beta095_lg015,0.95,0.15,3,0.6252564103,0.01861051006,0.6330769231,0.006044705248,0.6194871795,0.009400155272,3,1.732050808
ggcl,STL,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,hybrid_noise/blur_label_shuffle/blur_hybrid_ablation/blur_3p0_label_shuffle_0p2_beta09_lg01,blur_3p0_label_shuffle_0p2_beta09_lg01,0.9,0.1,3,0.6143589744,0.01434122071,0.6143589744,0.01434122071,0.5775641026,0.00256089543,3,1.732050808
ggcl,STL,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,hybrid_noise/blur_label_shuffle/blur_hybrid_ablation/blur_3p0_label_shuffle_0p2_beta09_lg03,blur_3p0_label_shuffle_0p2_beta09_lg03,0.9,0.3,3,0.6294871795,0.01541023508,0.6403846154,0.005425667684,0.6302564103,0.02124920233,2.333333333,1.527525232
ggcl,STL,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,hybrid_noise/blur_label_shuffle/blur_hybrid_ablation/blur_3p0_label_shuffle_0p2_compromise_beta09_lg02,blur_3p0_label_shuffle_0p2_compromise_beta09_lg02,0.9,0.2,3,0.6311538462,0.01040596097,0.6356410256,0.00487010767,0.6203846154,0.01483638579,3,1.732050808
ggcl,STL,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,hybrid_noise/blur_label_shuffle/blur_hybrid_ablation/blur_3p0_label_shuffle_0p2_feature_best_beta09_lg015,blur_3p0_label_shuffle_0p2_feature_best_beta09_lg015,0.9,0.15,3,0.6171794872,0.01910084315,0.626025641,0.01151493328,0.605,0.01083086757,2.333333333,1.527525232
ggcl,STL,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,hybrid_noise/blur_label_shuffle/blur_hybrid_ablation/blur_3p0_label_shuffle_0p2_label_best_beta05_lg025,blur_3p0_label_shuffle_0p2_label_best_beta05_lg025,0.5,0.25,3,0.6074358974,0.003890766899,0.623974359,0.01827766337,0.608974359,0.02923161267,2.333333333,1.527525232
ggcl,STL,hybrid_noise/brightness_0p75_label_shuffle_0p2,brightness_0p75 + label_shuffle_0p2,hybrid_noise/brightness_label_shuffle/brightness_0p75_label_shuffle_0p2_beta085_lg01,brightness_0p75_label_shuffle_0p2_beta085_lg01,0.85,0.1,3,0.7032051282,0.01521217461,0.7088461538,0.01966058141,0.6983333333,0.01909697044,9.333333333,3.511884584
ggcl,STL,hybrid_noise/brightness_0p75_label_shuffle_0p2,brightness_0p75 + label_shuffle_0p2,hybrid_noise/brightness_label_shuffle/brightness_hybrid_ablation/brightness_0p75_label_shuffle_0p2_beta095_lg01,brightness_0p75_label_shuffle_0p2_beta095_lg01,0.95,0.1,3,0.681025641,0.02636042099,0.6911538462,0.02458832647,0.688974359,0.02347204473,5.333333333,3.511884584
ggcl,STL,hybrid_noise/brightness_0p75_label_shuffle_0p2,brightness_0p75 + label_shuffle_0p2,hybrid_noise/brightness_label_shuffle/brightness_hybrid_ablation/brightness_0p75_label_shuffle_0p2_beta09_lg005,brightness_0p75_label_shuffle_0p2_beta09_lg005,0.9,0.05,3,0.6871794872,0.02451401403,0.6967948718,0.03063512442,0.6830769231,0.03772565244,7.666666667,5.131601439
ggcl,STL,hybrid_noise/brightness_0p75_label_shuffle_0p2,brightness_0p75 + label_shuffle_0p2,hybrid_noise/brightness_label_shuffle/brightness_hybrid_ablation/brightness_0p75_label_shuffle_0p2_beta09_lg0075,brightness_0p75_label_shuffle_0p2_beta09_lg0075,0.9,0.075,3,0.6775641026,0.03887533811,0.6953846154,0.0257060074,0.681025641,0.02750022413,9,8
ggcl,STL,hybrid_noise/brightness_0p75_label_shuffle_0p2,brightness_0p75 + label_shuffle_0p2,hybrid_noise/brightness_label_shuffle/brightness_hybrid_ablation/brightness_0p75_label_shuffle_0p2_compromise_beta09_lg015,brightness_0p75_label_shuffle_0p2_compromise_beta09_lg015,0.9,0.15,3,0.701025641,0.01238158906,0.7038461538,0.009334354692,0.6938461538,0.005921078584,7.666666667,4.618802154
ggcl,STL,hybrid_noise/brightness_0p75_label_shuffle_0p2,brightness_0p75 + label_shuffle_0p2,hybrid_noise/brightness_label_shuffle/brightness_hybrid_ablation/brightness_0p75_label_shuffle_0p2_feature_best_beta09_lg01,brightness_0p75_label_shuffle_0p2_feature_best_beta09_lg01,0.9,0.1,3,0.703974359,0.01836647533,0.7074358974,0.01425846231,0.7023076923,0.01499013482,8.666666667,0.5773502692
ggcl,STL,hybrid_noise/brightness_0p75_label_shuffle_0p2,brightness_0p75 + label_shuffle_0p2,hybrid_noise/brightness_label_shuffle/brightness_hybrid_ablation/brightness_0p75_label_shuffle_0p2_label_best_beta05_lg025,brightness_0p75_label_shuffle_0p2_label_best_beta05_lg025,0.5,0.25,3,0.686025641,0.01630575702,0.6970512821,0.005564752414,0.6914102564,0.004588597479,5.666666667,2.081665999
ggcl,STL,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,hybrid_noise/gaussian_label_shuffle/gaussian_30p0_label_shuffle_0p2_beta06_lg015,gaussian_30p0_label_shuffle_0p2_beta06_lg015,0.6,0.15,3,0.6670512821,0.01824526093,0.6746153846,0.0120894105,0.6537179487,0.02667282966,12.66666667,0.5773502692
ggcl,STL,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,hybrid_noise/gaussian_label_shuffle/gaussian_hybrid_ablation/gaussian_30p0_label_shuffle_0p2_beta04_lg015,gaussian_30p0_label_shuffle_0p2_beta04_lg015,0.4,0.15,3,0.6338461538,0.006837072629,0.6585897436,0.004457779141,0.6208974359,0.03864635085,8.666666667,3.511884584
ggcl,STL,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,hybrid_noise/gaussian_label_shuffle/gaussian_hybrid_ablation/gaussian_30p0_label_shuffle_0p2_beta05_lg01,gaussian_30p0_label_shuffle_0p2_beta05_lg01,0.5,0.1,3,0.6380769231,0.008435273923,0.6635897436,0.00974021534,0.6520512821,0.01477810898,10,1.732050808
ggcl,STL,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,hybrid_noise/gaussian_label_shuffle/gaussian_hybrid_ablation/gaussian_30p0_label_shuffle_0p2_beta07_lg015,gaussian_30p0_label_shuffle_0p2_beta07_lg015,0.7,0.15,3,0.6671794872,0.02522189494,0.6683333333,0.02520429349,0.6494871795,0.02903103148,9.333333333,4.041451884
ggcl,STL,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,hybrid_noise/gaussian_label_shuffle/gaussian_hybrid_ablation/gaussian_30p0_label_shuffle_0p2_compromise_beta05_lg02,gaussian_30p0_label_shuffle_0p2_compromise_beta05_lg02,0.5,0.2,3,0.6546153846,0.01987758394,0.6591025641,0.01355098488,0.6371794872,0.02907431137,9.333333333,4.041451884
